address_id,street,city,state,house_number
1,Jalan Mawar,Taman Batu Pahat,Johor,12
2,Jalan Mawar 2,Taman Batu Pahat,Johor,5
3,Jalan Kenanga,Taman Batu Pahat,Johor,67
4,Jalan Melati,Taman Batu Pahat,Johor,23
5,Jalan Anggerik,Taman Batu Pahat,Johor,45
6,Jalan Teratai,Taman Batu Pahat,Johor,8
7,Jalan Cempaka,Taman Batu Pahat,Johor,91
8,Jalan Dahlia,Taman Batu Pahat,Johor,34
9,Jalan Lili,Taman Batu Pahat,Johor,67
10,Jalan Kemboja,Taman Batu Pahat,Johor,19
11,Jalan Hibiscus,Taman Batu Pahat,Johor,0
12,dsd,123123,12321,0
13,234223,1212,12445,0
14,eqwe,fsdfs,ddqwr,0
15,rwerwe,rwerw,werew,0
